Status,Epoch,Loss,Accuracy,Accuracy per class,Macro F1,Precision,Recall
training,0,0.28685186319053174,"tensor(0.9371, device='cuda:0')","[0, 0.006097560975609756, 0.0, 0.0, -1, -1, 0.0, 0.0, 0.0]",0.0013821700069108502,0.05263157894736842,0.0007002801120448179
training,1,0.17510378416627645,"tensor(0.9552, device='cuda:0')","[0, -1, 0.656934306569343, -1, -1, -1, -1, -1, -1]",0.14900662251655628,0.703125,0.08333333333333333
training,2,0.20738719552755355,"tensor(0.9606, device='cuda:0')","[0, 0.5833333333333334, 0.6066066066066066, -1, 1.0, 0.0, -1, 0.3541666666666667, 0.48717948717948717]",0.36542515811665494,0.6190476190476191,0.259222333000997
training,3,0.09519883492030204,"tensor(0.9703, device='cuda:0')","[0, 0.6054421768707483, 0.6741573033707865, 1.0, 0.573170731707317, 0.2, 0.06451612903225806, 0.375, 0.5705128205128205]",0.5917513448894203,0.6273764258555133,0.5599547511312217
training,4,0.06313697937875987,"tensor(0.9778, device='cuda:0')","[0, 0.6479591836734694, 0.7058823529411765, 0.9333333333333333, 0.7479674796747967, 0.2222222222222222, 0.11764705882352941, 0.35064935064935066, 0.6647727272727273]",0.7120359955005625,0.6791845493562232,0.74822695035461
training,5,0.056656826462130994,"tensor(0.9828, device='cuda:0')","[0, 0.7448979591836735, 0.7652173913043478, 0.9615384615384616, 0.7257142857142858, 0.6666666666666666, 0.0, 0.5681818181818182, 0.7411167512690355]",0.7995899538698102,0.7662082514734774,0.8360128617363344
training,6,0.044952793448464944,"tensor(0.9871, device='cuda:0')","[0, 0.7652582159624414, 0.796875, 0.9166666666666666, 0.7894736842105263, 0.625, 1.0, 0.7864077669902912, 0.8505747126436781]",0.8521478521478523,0.8265503875968992,0.8793814432989691
training,7,0.042543778731487694,"tensor(0.9874, device='cuda:0')","[0, 0.8, 0.8338762214983714, 0.7419354838709677, 0.8304093567251462, 0.6097560975609756, 0.8888888888888888, 0.6507936507936508, 0.8579234972677595]",0.857283464566929,0.8216981132075472,0.8960905349794238
training,8,0.024278258834965528,"tensor(0.9915, device='cuda:0')","[0, 0.8958333333333334, 0.8366013071895425, 0.9655172413793104, 0.856353591160221, 0.7272727272727273, 0.7608695652173914, 0.8476190476190476, 0.930635838150289]",0.906413301662708,0.8833333333333333,0.9307317073170732
training,9,0.01566719994007144,"tensor(0.9935, device='cuda:0')","[0, 0.9473684210526315, 0.9166666666666666, 0.9354838709677419, 0.8426395939086294, 0.8392857142857143, 0.975609756097561, 0.8823529411764706, 0.9575757575757575]",0.9299719887955182,0.9369708372530574,0.9230769230769231
training,10,0.010457268063328229,"tensor(0.9958, device='cuda:0')","[0, 0.9354838709677419, 0.9381818181818182, 1.0, 0.9488636363636364, 0.8387096774193549, 0.9523809523809523, 0.9133858267716536, 0.9534883720930233]",0.9547134935304991,0.9425182481751825,0.9672284644194756
training,11,0.01454652464890387,"tensor(0.9967, device='cuda:0')","[0, 0.9319371727748691, 0.9397163120567376, 0.9666666666666667, 0.9542857142857143, 0.9333333333333333, 1.0, 0.9754098360655737, 0.9761904761904762]",0.9648562300319489,0.9617834394904459,0.967948717948718
training,12,0.004868445827742107,"tensor(0.9977, device='cuda:0')","[0, 0.9836065573770492, 0.9739776951672863, 1.0, 0.9453551912568307, 0.8939393939393939, 0.9545454545454546, 0.9606299212598425, 0.9883720930232558]",0.9755877034358047,0.9755877034358047,0.9755877034358047
training,13,0.006578214786713943,"tensor(0.9976, device='cuda:0')","[0, 0.9565217391304348, 0.9775280898876404, 1.0, 0.945054945054945, 0.9552238805970149, 0.9183673469387755, 0.9919354838709677, 0.9825581395348837]",0.9750113584734212,0.9808043875685558,0.969286359530262
training,14,0.004598782349785324,"tensor(0.9967, device='cuda:0')","[0, 0.9611111111111111, 0.9413919413919414, 1.0, 0.9606741573033708, 0.835820895522388, 0.9583333333333334, 0.991869918699187, 0.9329608938547486]",0.9659863945578231,0.9603246167718665,0.9717153284671532
TIME TO TRAIN,496.76384592056274,0.004598782349785324,"tensor(0.9957, device='cuda:0')","[0, 0.9414634146341463, 0.9251700680272109, 1.0, 0.9438775510204082, 0.8082191780821918, 0.9583333333333334, 0.96875, 0.905940594059406]",0.9523809523809524,0.946843853820598,0.957983193277311
